gene	dS	sp
GCK72_023245.t1	0.3311	cremanei_vs_clatens
GCK72_001845.t1	0.0855	cremanei_vs_clatens
GCK72_009455.t1	0.0988	cremanei_vs_clatens
GCK72_009860.t1	0.1241	cremanei_vs_clatens
GCK72_013677.t1	0.067	cremanei_vs_clatens
GCK72_002308.t1	0.1278	cremanei_vs_clatens
GCK72_000328.t1	0.3621	cremanei_vs_clatens
GCK72_005491.t1	0.1492	cremanei_vs_clatens
GCK72_003606.t1	0.1643	cremanei_vs_clatens
GCK72_009696.t1	0.1595	cremanei_vs_clatens
GCK72_014640.t1	0.126	cremanei_vs_clatens
GCK72_016533.t1	0.2194	cremanei_vs_clatens
GCK72_005409.t1	0.0802	cremanei_vs_clatens
GCK72_023746.t1	0.2589	cremanei_vs_clatens
GCK72_010725.t1	0.0936	cremanei_vs_clatens
GCK72_003539.t1	0.1766	cremanei_vs_clatens
GCK72_010965.t1	0.0669	cremanei_vs_clatens
GCK72_017981.t1	0.0909	cremanei_vs_clatens
GCK72_024292.t1	0.1479	cremanei_vs_clatens
GCK72_014366.t1	0.0459	cremanei_vs_clatens
GCK72_010473.t1	0.143	cremanei_vs_clatens
GCK72_000321.t1	0.2082	cremanei_vs_clatens
GCK72_015645.t1	0.1267	cremanei_vs_clatens
GCK72_005630.t1	0.0817	cremanei_vs_clatens
GCK72_006175.t1	0.1805	cremanei_vs_clatens
GCK72_018271.t1	0.134	cremanei_vs_clatens
GCK72_003481.t1	0.101	cremanei_vs_clatens
GCK72_019817.t1	0.1398	cremanei_vs_clatens
GCK72_000207.t1	0.1204	cremanei_vs_clatens
GCK72_001760.t1	0.1145	cremanei_vs_clatens
GCK72_008997.t1	0.0345	cremanei_vs_clatens
GCK72_001557.t1	0.1041	cremanei_vs_clatens
GCK72_014074.t1	0.1073	cremanei_vs_clatens
GCK72_016321.t1	0.118	cremanei_vs_clatens
GCK72_002073.t1	0.1028	cremanei_vs_clatens
GCK72_014278.t1	0.1282	cremanei_vs_clatens
GCK72_011731.t1	0.2035	cremanei_vs_clatens
GCK72_005482.t1	0.0297	cremanei_vs_clatens
GCK72_008899.t1	0.0896	cremanei_vs_clatens
GCK72_018153.t1	0.0771	cremanei_vs_clatens
GCK72_024174.t1	0.1246	cremanei_vs_clatens
GCK72_000911.t1	0.1011	cremanei_vs_clatens
GCK72_001270.t1	0.1937	cremanei_vs_clatens
GCK72_008307.t1	0.0913	cremanei_vs_clatens
GCK72_009480.t1	0.1191	cremanei_vs_clatens
GCK72_001704.t1	0.0822	cremanei_vs_clatens
GCK72_022182.t1	0.1534	cremanei_vs_clatens
GCK72_010507.t1	0.1277	cremanei_vs_clatens
GCK72_024407.t1	0.1476	cremanei_vs_clatens
GCK72_010047.t1	0.2024	cremanei_vs_clatens
GCK72_024648.t1	0.1588	cremanei_vs_clatens
GCK72_009366.t1	0.0804	cremanei_vs_clatens
GCK72_006772.t1	0.1218	cremanei_vs_clatens
GCK72_002345.t1	0.1281	cremanei_vs_clatens
GCK72_004618.t1	0.1272	cremanei_vs_clatens
GCK72_002405.t1	0.0321	cremanei_vs_clatens
GCK72_003682.t1	0.1756	cremanei_vs_clatens
GCK72_005087.t1	0.1373	cremanei_vs_clatens
GCK72_014639.t1	0.1153	cremanei_vs_clatens
GCK72_005032.t1	0.0809	cremanei_vs_clatens
GCK72_014167.t1	0.0286	cremanei_vs_clatens
GCK72_008828.t1	0.0575	cremanei_vs_clatens
GCK72_009733.t1	0.1231	cremanei_vs_clatens
GCK72_018486.t1	0.1224	cremanei_vs_clatens
GCK72_024344.t1	0.2178	cremanei_vs_clatens
GCK72_001492.t1	0.1021	cremanei_vs_clatens
GCK72_016453.t1	0.1622	cremanei_vs_clatens
GCK72_024335.t1	0.1915	cremanei_vs_clatens
GCK72_011701.t1	0.2442	cremanei_vs_clatens
GCK72_012880.t1	0.0997	cremanei_vs_clatens
GCK72_014136.t1	0.1642	cremanei_vs_clatens
GCK72_025918.t1	0.2271	cremanei_vs_clatens
GCK72_013068.t1	0.1387	cremanei_vs_clatens
GCK72_017502.t1	0.1047	cremanei_vs_clatens
GCK72_001613.t1	0.1553	cremanei_vs_clatens
GCK72_000350.t1	0.2328	cremanei_vs_clatens
GCK72_013955.t1	0.0671	cremanei_vs_clatens
GCK72_010800.t1	0.0688	cremanei_vs_clatens
GCK72_009882.t1	0.1198	cremanei_vs_clatens
GCK72_004819.t1	0.1131	cremanei_vs_clatens
GCK72_005588.t1	0.0894	cremanei_vs_clatens
GCK72_006590.t1	0.1823	cremanei_vs_clatens
GCK72_015730.t1	0.3064	cremanei_vs_clatens
GCK72_010393.t1	0.0746	cremanei_vs_clatens
GCK72_001360.t1	0.0645	cremanei_vs_clatens
GCK72_014508.t1	0.114	cremanei_vs_clatens
GCK72_018854.t1	0.0909	cremanei_vs_clatens
GCK72_009589.t1	0.1842	cremanei_vs_clatens
GCK72_016167.t1	0.0355	cremanei_vs_clatens
GCK72_005828.t1	0.1628	cremanei_vs_clatens
GCK72_016564.t1	0.2429	cremanei_vs_clatens
GCK72_013975.t1	0.076	cremanei_vs_clatens
GCK72_011901.t1	0.1591	cremanei_vs_clatens
GCK72_005361.t1	0.1114	cremanei_vs_clatens
GCK72_022161.t1	0.1621	cremanei_vs_clatens
GCK72_002707.t1	0.1357	cremanei_vs_clatens
GCK72_002443.t1	0.0948	cremanei_vs_clatens
GCK72_001724.t1	0.1932	cremanei_vs_clatens
GCK72_019598.t1	0.1604	cremanei_vs_clatens
GCK72_008702.t1	0.1164	cremanei_vs_clatens
GCK72_019187.t1	0.1483	cremanei_vs_clatens
GCK72_005575.t1	0.1417	cremanei_vs_clatens
GCK72_000837.t1	0.1019	cremanei_vs_clatens
GCK72_001678.t1	0.0648	cremanei_vs_clatens
GCK72_009118.t1	0.0912	cremanei_vs_clatens
GCK72_024847.t1	0.1955	cremanei_vs_clatens
GCK72_009697.t1	0.1458	cremanei_vs_clatens
GCK72_003295.t1	0.2204	cremanei_vs_clatens
GCK72_023605.t1	0.136	cremanei_vs_clatens
GCK72_010053.t1	0.0748	cremanei_vs_clatens
GCK72_014301.t1	0.1328	cremanei_vs_clatens
GCK72_016277.t1	0.223	cremanei_vs_clatens
GCK72_004998.t1	0.1258	cremanei_vs_clatens
GCK72_020830.t1	0.0368	cremanei_vs_clatens
GCK72_009427.t1	0.156	cremanei_vs_clatens
GCK72_014589.t1	0.0841	cremanei_vs_clatens
GCK72_014519.t1	0.201	cremanei_vs_clatens
GCK72_021989.t1	0.1636	cremanei_vs_clatens
GCK72_020165.t1	0.1974	cremanei_vs_clatens
GCK72_012859.t1	0.0157	cremanei_vs_clatens
GCK72_018140.t1	0.163	cremanei_vs_clatens
GCK72_009606.t1	0.1378	cremanei_vs_clatens
GCK72_023173.t1	0.2418	cremanei_vs_clatens
GCK72_005512.t1	0.1193	cremanei_vs_clatens
GCK72_023595.t1	0.0965	cremanei_vs_clatens
GCK72_017742.t1	0.1122	cremanei_vs_clatens
GCK72_013386.t1	0.1652	cremanei_vs_clatens
GCK72_018226.t1	0.1281	cremanei_vs_clatens
GCK72_021849.t1	0.2064	cremanei_vs_clatens
GCK72_002442.t1	0.1329	cremanei_vs_clatens
GCK72_000437.t1	0.1332	cremanei_vs_clatens
GCK72_018609.t1	0.1448	cremanei_vs_clatens
GCK72_022586.t1	0.1937	cremanei_vs_clatens
GCK72_005295.t1	0.1534	cremanei_vs_clatens
GCK72_009523.t1	0.1054	cremanei_vs_clatens
GCK72_004835.t1	0.2121	cremanei_vs_clatens
GCK72_010652.t1	0.0947	cremanei_vs_clatens
GCK72_001713.t1	0.1094	cremanei_vs_clatens
GCK72_025384.t1	0.2187	cremanei_vs_clatens
GCK72_017737.t1	0.0891	cremanei_vs_clatens
GCK72_001488.t1	0.1491	cremanei_vs_clatens
GCK72_005446.t1	0.1902	cremanei_vs_clatens
GCK72_001013.t1	0.1686	cremanei_vs_clatens
GCK72_016461.t1	0.1858	cremanei_vs_clatens
GCK72_002139.t1	0.1011	cremanei_vs_clatens
GCK72_015749.t1	0.2903	cremanei_vs_clatens
GCK72_004057.t1	0.1828	cremanei_vs_clatens
GCK72_010934.t1	0.1641	cremanei_vs_clatens
GCK72_002548.t1	0.0987	cremanei_vs_clatens
GCK72_015004.t1	0.0497	cremanei_vs_clatens
GCK72_002130.t1	0.107	cremanei_vs_clatens
GCK72_001950.t1	0.1275	cremanei_vs_clatens
GCK72_017024.t1	0.2525	cremanei_vs_clatens
GCK72_004681.t1	0.1468	cremanei_vs_clatens
GCK72_014186.t1	0.0069	cremanei_vs_clatens
GCK72_025502.t1	0.2645	cremanei_vs_clatens
GCK72_023820.t1	0.2029	cremanei_vs_clatens
GCK72_002427.t1	0.0911	cremanei_vs_clatens
GCK72_006222.t1	0.0911	cremanei_vs_clatens
GCK72_002835.t1	0.145	cremanei_vs_clatens
GCK72_003701.t1	0.227	cremanei_vs_clatens
GCK72_009451.t1	0.088	cremanei_vs_clatens
GCK72_004968.t1	0.1019	cremanei_vs_clatens
GCK72_001444.t1	0.1529	cremanei_vs_clatens
GCK72_018375.t1	0.0974	cremanei_vs_clatens
GCK72_005815.t1	0.1448	cremanei_vs_clatens
GCK72_007978.t1	0.1731	cremanei_vs_clatens
GCK72_010533.t1	0.1568	cremanei_vs_clatens
GCK72_001485.t1	0.0183	cremanei_vs_clatens
GCK72_014092.t1	0.12	cremanei_vs_clatens
GCK72_009386.t1	0.1206	cremanei_vs_clatens
GCK72_006650.t1	0.2446	cremanei_vs_clatens
GCK72_001836.t1	0.0959	cremanei_vs_clatens
GCK72_018170.t1	0.1339	cremanei_vs_clatens
GCK72_002552.t1	0.1124	cremanei_vs_clatens
GCK72_000563.t1	0.1297	cremanei_vs_clatens
GCK72_010388.t1	0.1366	cremanei_vs_clatens
GCK72_002590.t1	0.1833	cremanei_vs_clatens
GCK72_002821.t1	0.1174	cremanei_vs_clatens
GCK72_017991.t1	0.1788	cremanei_vs_clatens
GCK72_016980.t1	0.3047	cremanei_vs_clatens
GCK72_013779.t1	0.1054	cremanei_vs_clatens
GCK72_002533.t1	0.1219	cremanei_vs_clatens
GCK72_015180.t1	0.1711	cremanei_vs_clatens
GCK72_024331.t1	0.1108	cremanei_vs_clatens
GCK72_007080.t1	0.1959	cremanei_vs_clatens
GCK72_009367.t1	0.0917	cremanei_vs_clatens
GCK72_004725.t1	0.1456	cremanei_vs_clatens
GCK72_010754.t1	0.13	cremanei_vs_clatens
GCK72_008128.t1	0.1518	cremanei_vs_clatens
GCK72_009959.t1	0.0937	cremanei_vs_clatens
GCK72_006246.t1	0.1629	cremanei_vs_clatens
GCK72_017941.t1	0.0933	cremanei_vs_clatens
GCK72_001754.t1	0.1418	cremanei_vs_clatens
GCK72_010147.t1	0.156	cremanei_vs_clatens
GCK72_006152.t1	0.1509	cremanei_vs_clatens
GCK72_024157.t1	0.1337	cremanei_vs_clatens
GCK72_000384.t1	0.3116	cremanei_vs_clatens
GCK72_024891.t1	0.0341	cremanei_vs_clatens
GCK72_001477.t1	0.1293	cremanei_vs_clatens
GCK72_009674.t1	0.1134	cremanei_vs_clatens
GCK72_003367.t1	0.1946	cremanei_vs_clatens
GCK72_009983.t1	0.0863	cremanei_vs_clatens
GCK72_017592.t1	0.1109	cremanei_vs_clatens
GCK72_001226.t1	0.1706	cremanei_vs_clatens
GCK72_000067.t1	0.2009	cremanei_vs_clatens
GCK72_024039.t1	0.129	cremanei_vs_clatens
GCK72_000908.t1	0.0313	cremanei_vs_clatens
GCK72_007995.t1	0.1976	cremanei_vs_clatens
GCK72_025344.t1	0.1627	cremanei_vs_clatens
GCK72_023436.t1	0.1547	cremanei_vs_clatens
GCK72_000407.t1	0.2243	cremanei_vs_clatens
GCK72_006401.t1	0.125	cremanei_vs_clatens
GCK72_001838.t1	0.1292	cremanei_vs_clatens
GCK72_017418.t1	0.1814	cremanei_vs_clatens
GCK72_017467.t1	0.1151	cremanei_vs_clatens
GCK72_014037.t1	0.1218	cremanei_vs_clatens
GCK72_009538.t1	0.096	cremanei_vs_clatens
GCK72_010313.t1	0.1428	cremanei_vs_clatens
GCK72_000248.t1	0.0469	cremanei_vs_clatens
GCK72_010048.t1	0.1528	cremanei_vs_clatens
GCK72_010564.t1	0.1226	cremanei_vs_clatens
GCK72_010092.t1	0.08	cremanei_vs_clatens
GCK72_008524.t1	0.0891	cremanei_vs_clatens
GCK72_005231.t1	0.1671	cremanei_vs_clatens
GCK72_008281.t1	0.1755	cremanei_vs_clatens
GCK72_010483.t1	0.1733	cremanei_vs_clatens
GCK72_022172.t1	0.1959	cremanei_vs_clatens
GCK72_001193.t1	0.1183	cremanei_vs_clatens
GCK72_018883.t1	0.06	cremanei_vs_clatens
GCK72_006751.t1	0.1172	cremanei_vs_clatens
GCK72_016573.t1	0.1851	cremanei_vs_clatens
GCK72_022266.t1	0.1453	cremanei_vs_clatens
GCK72_014661.t1	0.2853	cremanei_vs_clatens
GCK72_014551.t1	0.2039	cremanei_vs_clatens
GCK72_010718.t1	0.1549	cremanei_vs_clatens
GCK72_004670.t1	0.2218	cremanei_vs_clatens
GCK72_018072.t1	0.0864	cremanei_vs_clatens
GCK72_009677.t1	0.1531	cremanei_vs_clatens
GCK72_003696.t1	0.2182	cremanei_vs_clatens
GCK72_005731.t1	0.1066	cremanei_vs_clatens
GCK72_006652.t1	0.1769	cremanei_vs_clatens
GCK72_024507.t1	0.1181	cremanei_vs_clatens
GCK72_005356.t1	0.0954	cremanei_vs_clatens
GCK72_009472.t1	0.1273	cremanei_vs_clatens
GCK72_022216.t1	0.1705	cremanei_vs_clatens
GCK72_014689.t1	0.1089	cremanei_vs_clatens
GCK72_006935.t1	0.1907	cremanei_vs_clatens
GCK72_005330.t1	0.0852	cremanei_vs_clatens
GCK72_003107.t1	0.1827	cremanei_vs_clatens
GCK72_022584.t1	0.2383	cremanei_vs_clatens
GCK72_013416.t1	0.1491	cremanei_vs_clatens
GCK72_013080.t1	0.0973	cremanei_vs_clatens
GCK72_024043.t1	0.0882	cremanei_vs_clatens
GCK72_002901.t1	0.0862	cremanei_vs_clatens
GCK72_000547.t1	0.1233	cremanei_vs_clatens
GCK72_005719.t1	0.0787	cremanei_vs_clatens
GCK72_010003.t1	0.1087	cremanei_vs_clatens
GCK72_011629.t1	0.2498	cremanei_vs_clatens
GCK72_000631.t1	0.1075	cremanei_vs_clatens
GCK72_002381.t1	0.146	cremanei_vs_clatens
GCK72_009776.t1	0.1237	cremanei_vs_clatens
GCK72_013146.t1	0.1467	cremanei_vs_clatens
GCK72_014978.t1	0.1457	cremanei_vs_clatens
GCK72_014409.t1	0.1122	cremanei_vs_clatens
GCK72_002499.t1	0.0788	cremanei_vs_clatens
GCK72_006770.t1	0.2944	cremanei_vs_clatens
GCK72_014275.t1	0.0877	cremanei_vs_clatens
GCK72_010527.t1	0.0756	cremanei_vs_clatens
GCK72_013889.t1	0.1453	cremanei_vs_clatens
GCK72_000096.t1	0.2155	cremanei_vs_clatens
GCK72_006320.t1	0.1115	cremanei_vs_clatens
GCK72_014298.t1	0.1098	cremanei_vs_clatens
GCK72_025245.t1	0.1912	cremanei_vs_clatens
GCK72_024505.t1	0.1201	cremanei_vs_clatens
GCK72_021855.t1	0.0044	cremanei_vs_clatens
GCK72_008189.t1	0.1603	cremanei_vs_clatens
GCK72_002528.t1	0.0653	cremanei_vs_clatens
GCK72_024270.t1	0.1957	cremanei_vs_clatens
GCK72_022279.t1	0.1332	cremanei_vs_clatens
GCK72_002161.t1	0.1234	cremanei_vs_clatens
GCK72_007821.t1	0.1158	cremanei_vs_clatens
GCK72_010034.t1	0.1215	cremanei_vs_clatens
GCK72_025659.t1	0.1453	cremanei_vs_clatens
GCK72_024299.t1	0.2006	cremanei_vs_clatens
GCK72_006437.t1	0.0837	cremanei_vs_clatens
GCK72_018400.t1	0.1035	cremanei_vs_clatens
GCK72_000715.t1	0.1473	cremanei_vs_clatens
GCK72_003607.t1	0.1625	cremanei_vs_clatens
GCK72_009823.t1	0.2145	cremanei_vs_clatens
GCK72_006330.t1	0.1029	cremanei_vs_clatens
GCK72_011781.t1	0.1619	cremanei_vs_clatens
GCK72_009702.t1	0.1458	cremanei_vs_clatens
GCK72_013846.t1	0.1783	cremanei_vs_clatens
GCK72_001311.t1	0.0676	cremanei_vs_clatens
GCK72_008626.t1	0.1484	cremanei_vs_clatens
GCK72_016279.t1	0.3083	cremanei_vs_clatens
GCK72_008463.t1	0.1807	cremanei_vs_clatens
GCK72_023598.t1	0.2176	cremanei_vs_clatens
GCK72_005443.t1	0.143	cremanei_vs_clatens
GCK72_006032.t1	0.0743	cremanei_vs_clatens
GCK72_018325.t1	0.1488	cremanei_vs_clatens
GCK72_023284.t1	0.1878	cremanei_vs_clatens
GCK72_011057.t1	0.2035	cremanei_vs_clatens
GCK72_003588.t1	0.0103	cremanei_vs_clatens
GCK72_016672.t1	0.2389	cremanei_vs_clatens
GCK72_002536.t1	0.1063	cremanei_vs_clatens
GCK72_010289.t1	0.1259	cremanei_vs_clatens
GCK72_008520.t1	0.2358	cremanei_vs_clatens
GCK72_006658.t1	0.1339	cremanei_vs_clatens
GCK72_008512.t1	0.25	cremanei_vs_clatens
GCK72_022233.t1	0.1547	cremanei_vs_clatens
GCK72_016633.t1	0.1878	cremanei_vs_clatens
GCK72_023896.t1	0.13	cremanei_vs_clatens
GCK72_007239.t1	0.2183	cremanei_vs_clatens
GCK72_004886.t1	0.1886	cremanei_vs_clatens
GCK72_014533.t1	0.0121	cremanei_vs_clatens
GCK72_009704.t1	0.1504	cremanei_vs_clatens
GCK72_017456.t1	0.1532	cremanei_vs_clatens
GCK72_010715.t1	0.065	cremanei_vs_clatens
GCK72_018042.t1	0.1107	cremanei_vs_clatens
GCK72_011787.t1	0.1896	cremanei_vs_clatens
GCK72_011910.t1	0.0971	cremanei_vs_clatens
GCK72_023430.t1	0.1029	cremanei_vs_clatens
GCK72_010570.t1	0.0851	cremanei_vs_clatens
GCK72_025249.t1	0.3202	cremanei_vs_clatens
GCK72_003695.t1	0.1271	cremanei_vs_clatens
GCK72_005732.t1	0.1343	cremanei_vs_clatens
GCK72_022281.t1	0.1402	cremanei_vs_clatens
GCK72_003819.t1	0.2125	cremanei_vs_clatens
GCK72_001716.t1	0.1254	cremanei_vs_clatens
GCK72_010134.t1	0.1808	cremanei_vs_clatens
GCK72_014065.t1	0.0964	cremanei_vs_clatens
GCK72_009638.t1	0.1892	cremanei_vs_clatens
GCK72_010604.t1	0.029	cremanei_vs_clatens
GCK72_024878.t1	0.1448	cremanei_vs_clatens
GCK72_003197.t1	0.1465	cremanei_vs_clatens
GCK72_018243.t1	0.1202	cremanei_vs_clatens
GCK72_000630.t1	0.0304	cremanei_vs_clatens
GCK72_009428.t1	0.0984	cremanei_vs_clatens
GCK72_005655.t1	0.0303	cremanei_vs_clatens
GCK72_009979.t1	0.1516	cremanei_vs_clatens
GCK72_010651.t1	0.1719	cremanei_vs_clatens
GCK72_000004.t1	0.1591	cremanei_vs_clatens
GCK72_016208.t1	0.3313	cremanei_vs_clatens
GCK72_023623.t1	0.2104	cremanei_vs_clatens
GCK72_019136.t1	0.0555	cremanei_vs_clatens
GCK72_005616.t1	0.1206	cremanei_vs_clatens
GCK72_001782.t1	0.1766	cremanei_vs_clatens
GCK72_002200.t1	0.1352	cremanei_vs_clatens
GCK72_005163.t1	0.198	cremanei_vs_clatens
GCK72_010228.t1	0.1253	cremanei_vs_clatens
GCK72_000265.t1	0.288	cremanei_vs_clatens
GCK72_001239.t1	0.0862	cremanei_vs_clatens
GCK72_019045.t1	0.1132	cremanei_vs_clatens
GCK72_001035.t1	0.0965	cremanei_vs_clatens
GCK72_001589.t1	0.0794	cremanei_vs_clatens
GCK72_008791.t1	0.1521	cremanei_vs_clatens
GCK72_009098.t1	0.1356	cremanei_vs_clatens
GCK72_014371.t1	0.1239	cremanei_vs_clatens
GCK72_005935.t1	0.1652	cremanei_vs_clatens
GCK72_017538.t1	0.0454	cremanei_vs_clatens
GCK72_002473.t1	0.176	cremanei_vs_clatens
GCK72_005987.t1	0.2871	cremanei_vs_clatens
GCK72_019253.t1	0.1228	cremanei_vs_clatens
GCK72_010064.t1	0.1821	cremanei_vs_clatens
GCK72_014234.t1	0.0708	cremanei_vs_clatens
GCK72_010168.t1	0.1345	cremanei_vs_clatens
GCK72_023530.t1	0.1157	cremanei_vs_clatens
GCK72_002168.t1	0.1014	cremanei_vs_clatens
GCK72_018102.t1	0.1041	cremanei_vs_clatens
GCK72_024149.t1	0.2129	cremanei_vs_clatens
GCK72_003585.t1	0.0821	cremanei_vs_clatens
GCK72_011443.t1	0.3585	cremanei_vs_clatens
GCK72_001252.t1	0.02	cremanei_vs_clatens
GCK72_016487.t1	0.0646	cremanei_vs_clatens
GCK72_009441.t1	0.0961	cremanei_vs_clatens
GCK72_002378.t1	0.1644	cremanei_vs_clatens
GCK72_004679.t1	0.0837	cremanei_vs_clatens
GCK72_000119.t1	0.077	cremanei_vs_clatens
GCK72_024825.t1	0.1298	cremanei_vs_clatens
GCK72_009187.t1	0.1457	cremanei_vs_clatens
GCK72_010415.t1	0.1137	cremanei_vs_clatens
GCK72_019152.t1	0.107	cremanei_vs_clatens
GCK72_008855.t1	0.1152	cremanei_vs_clatens
GCK72_014843.t1	0.0678	cremanei_vs_clatens
GCK72_010588.t1	0.1689	cremanei_vs_clatens
GCK72_010860.t1	0.1441	cremanei_vs_clatens
GCK72_010813.t1	0.1391	cremanei_vs_clatens
GCK72_011978.t1	0.1969	cremanei_vs_clatens
GCK72_024179.t1	0.2415	cremanei_vs_clatens
GCK72_001241.t1	0.1081	cremanei_vs_clatens
GCK72_005872.t1	0.1214	cremanei_vs_clatens
GCK72_001368.t1	0.146	cremanei_vs_clatens
GCK72_001115.t1	0.1637	cremanei_vs_clatens
GCK72_001074.t1	0.0152	cremanei_vs_clatens
GCK72_018848.t1	0.1037	cremanei_vs_clatens
GCK72_000031.t1	0.113	cremanei_vs_clatens
GCK72_011889.t1	0.2088	cremanei_vs_clatens
GCK72_024541.t1	0.1433	cremanei_vs_clatens
GCK72_014555.t1	0.1243	cremanei_vs_clatens
GCK72_010730.t1	0.0289	cremanei_vs_clatens
GCK72_012475.t1	0.2726	cremanei_vs_clatens
GCK72_001758.t1	0.1423	cremanei_vs_clatens
GCK72_003576.t1	0.2891	cremanei_vs_clatens
GCK72_006518.t1	0.1947	cremanei_vs_clatens
GCK72_010566.t1	0.1286	cremanei_vs_clatens
GCK72_018888.t1	0.1451	cremanei_vs_clatens
GCK72_005178.t1	0.1461	cremanei_vs_clatens
GCK72_019051.t1	0.1511	cremanei_vs_clatens
GCK72_018586.t1	0.1644	cremanei_vs_clatens
GCK72_002406.t1	0.0911	cremanei_vs_clatens
GCK72_001272.t1	0.1117	cremanei_vs_clatens
GCK72_005098.t1	0.1404	cremanei_vs_clatens
GCK72_006576.t1	0.1737	cremanei_vs_clatens
GCK72_016315.t1	0.1868	cremanei_vs_clatens
GCK72_005714.t1	0.1184	cremanei_vs_clatens
GCK72_005928.t1	0.1588	cremanei_vs_clatens
GCK72_013263.t1	0.0597	cremanei_vs_clatens
GCK72_009477.t1	0.1043	cremanei_vs_clatens
GCK72_010292.t1	0.1254	cremanei_vs_clatens
GCK72_011989.t1	0.1893	cremanei_vs_clatens
GCK72_003421.t1	0.2763	cremanei_vs_clatens
GCK72_004230.t1	0.1438	cremanei_vs_clatens
GCK72_000197.t1	0.3424	cremanei_vs_clatens
GCK72_002522.t1	0.1372	cremanei_vs_clatens
GCK72_005627.t1	0.1548	cremanei_vs_clatens
GCK72_001084.t1	0.1412	cremanei_vs_clatens
GCK72_018101.t1	0.1859	cremanei_vs_clatens
GCK72_002626.t1	0.0811	cremanei_vs_clatens
GCK72_023786.t1	0.2599	cremanei_vs_clatens
GCK72_024434.t1	0.2194	cremanei_vs_clatens
GCK72_002630.t1	0.0668	cremanei_vs_clatens
GCK72_011373.t1	0.2682	cremanei_vs_clatens
GCK72_004956.t1	0.1986	cremanei_vs_clatens
GCK72_011471.t1	0.2603	cremanei_vs_clatens
GCK72_016754.t1	0.1251	cremanei_vs_clatens
GCK72_013547.t1	0.0956	cremanei_vs_clatens
GCK72_002579.t1	0.0927	cremanei_vs_clatens
GCK72_014239.t1	0.1486	cremanei_vs_clatens
GCK72_001556.t1	0.1454	cremanei_vs_clatens
GCK72_002531.t1	0.1958	cremanei_vs_clatens
GCK72_022062.t1	0.2898	cremanei_vs_clatens
GCK72_009997.t1	0.1799	cremanei_vs_clatens
GCK72_023869.t1	0.1846	cremanei_vs_clatens
GCK72_018474.t1	0.1077	cremanei_vs_clatens
GCK72_024994.t1	0.184	cremanei_vs_clatens
GCK72_010243.t1	0.1182	cremanei_vs_clatens
GCK72_022259.t1	0.2245	cremanei_vs_clatens
GCK72_009903.t1	0.1492	cremanei_vs_clatens
GCK72_018117.t1	0.1217	cremanei_vs_clatens
GCK72_019607.t1	0.0587	cremanei_vs_clatens
GCK72_006180.t1	0.1547	cremanei_vs_clatens
GCK72_018616.t1	0.1155	cremanei_vs_clatens
GCK72_015715.t1	0.2578	cremanei_vs_clatens
GCK72_006293.t1	0.004	cremanei_vs_clatens
GCK72_006208.t1	0.1178	cremanei_vs_clatens
GCK72_024728.t1	0.1456	cremanei_vs_clatens
GCK72_005389.t1	0.0873	cremanei_vs_clatens
GCK72_018012.t1	0.0843	cremanei_vs_clatens
GCK72_021560.t1	0.1367	cremanei_vs_clatens
GCK72_003548.t1	0.6299	cremanei_vs_clatens
GCK72_008929.t1	0.1493	cremanei_vs_clatens
GCK72_024462.t1	0.1115	cremanei_vs_clatens
GCK72_011739.t1	0.4961	cremanei_vs_clatens
GCK72_018607.t1	0.1506	cremanei_vs_clatens
GCK72_002158.t1	0.1412	cremanei_vs_clatens
GCK72_005636.t1	0.2081	cremanei_vs_clatens
GCK72_000576.t1	0.0301	cremanei_vs_clatens
GCK72_024256.t1	0.0977	cremanei_vs_clatens
GCK72_012872.t1	0.0693	cremanei_vs_clatens
GCK72_002681.t1	0.131	cremanei_vs_clatens
GCK72_001637.t1	0.1026	cremanei_vs_clatens
GCK72_011920.t1	0.1239	cremanei_vs_clatens
GCK72_009474.t1	0.0804	cremanei_vs_clatens
GCK72_010195.t1	0.1251	cremanei_vs_clatens
GCK72_009313.t1	0.1178	cremanei_vs_clatens
GCK72_009602.t1	0.0269	cremanei_vs_clatens
GCK72_014242.t1	0.0936	cremanei_vs_clatens
GCK72_002078.t1	0.1037	cremanei_vs_clatens
GCK72_000209.t1	0.2904	cremanei_vs_clatens
GCK72_017973.t1	0.1193	cremanei_vs_clatens
GCK72_005932.t1	0.1543	cremanei_vs_clatens
GCK72_018176.t1	0.15	cremanei_vs_clatens
GCK72_010035.t1	0.0643	cremanei_vs_clatens
GCK72_017873.t1	0.1631	cremanei_vs_clatens
GCK72_001503.t1	0.0998	cremanei_vs_clatens
GCK72_004616.t1	0.1894	cremanei_vs_clatens
GCK72_010340.t1	0.1464	cremanei_vs_clatens
GCK72_011762.t1	0.1785	cremanei_vs_clatens
GCK72_004315.t1	0.3768	cremanei_vs_clatens
GCK72_014102.t1	0.1015	cremanei_vs_clatens
GCK72_025715.t1	0.2601	cremanei_vs_clatens
GCK72_002178.t1	0.1312	cremanei_vs_clatens
GCK72_011933.t1	0.077	cremanei_vs_clatens
GCK72_014547.t1	0.0742	cremanei_vs_clatens
GCK72_023187.t1	0.2174	cremanei_vs_clatens
GCK72_000654.t1	0.2549	cremanei_vs_clatens
GCK72_002180.t1	0.0786	cremanei_vs_clatens
GCK72_023905.t1	0.1476	cremanei_vs_clatens
GCK72_014517.t1	0.0215	cremanei_vs_clatens
